ticker,SMA,MA_TYPE,DELTA,DELAY,SURVIVAL_PROB,BUCKETS,STARTING_CAPITAL,maxterm,WHIPSAW_DAYS,final_equity,CAGR,CAGR_pct,max_drawdown,max_drawdown_pct,final_state,data_last_date
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,61,163970.05,0.17675315,17.6753,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,62,166314.38,0.17780975,17.7810,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,63,165269.16,0.17734040,17.7340,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,64,164495.43,0.17699116,17.6991,-0.09046757,-9.0468,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,65,159128.28,0.17452538,17.4525,-0.09522476,-9.5225,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,66,166269.01,0.17778944,17.7789,-0.09243165,-9.2432,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,67,159768.02,0.17482335,17.4823,-0.09884438,-9.8844,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,68,154415.71,0.17229523,17.2295,-0.12249439,-12.2494,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,69,153107.64,0.17166490,17.1665,-0.12246076,-12.2461,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,70,147037.13,0.16867198,16.8672,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,71,152952.05,0.17158959,17.1590,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,72,149373.36,0.16983727,16.9837,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,73,146635.47,0.16846989,16.8470,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,74,149990.23,0.17014211,17.0142,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,75,145405.94,0.16784803,16.7848,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,76,139574.34,0.16482981,16.4830,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,77,139853.80,0.16497712,16.4977,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,78,140951.59,0.16555314,16.5553,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,79,143988.36,0.16712492,16.7125,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,80,146912.16,0.16860916,16.8609,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,81,148269.13,0.16928863,16.9289,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,82,147824.66,0.16906672,16.9067,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,83,147568.76,0.16893867,16.8939,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,84,149828.96,0.17006253,17.0063,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,85,148350.79,0.16932934,16.9329,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,86,146571.42,0.16843762,16.8438,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,87,143292.12,0.16676732,16.6767,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,88,144769.75,0.16752433,16.7524,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,89,144376.06,0.16732335,16.7323,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,90,149725.17,0.17001126,17.0011,-0.13717986,-13.7180,Cash timeout,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,91,150696.77,0.17048982,17.0490,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,92,153457.49,0.17183398,17.1834,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,93,153973.46,0.17208268,17.2083,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,94,147317.11,0.16881254,16.8813,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,95,146079.81,0.16818946,16.8189,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,96,147508.43,0.16890845,16.8908,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,97,150165.20,0.17022836,17.0228,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,98,151361.97,0.17081579,17.0816,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,99,151444.67,0.17085623,17.0856,-0.13717986,-13.7180,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,100,153954.35,0.17207348,17.2073,-0.13717986,-13.7180,Floor hold,2026-07-23
